mouse,feedback_time,response_time
Cori,1.1868187947551403,1.150203632659725
Cori,1.437622793503536,1.3995028681981267
Cori,0.9860155932054084,0.9492910453999316
Cori,2.2964364861873747,2.2668016723032736
Cori,0.8276130676801188,0.8167758372132141
Cori,1.5468245345853546,1.5171069485727458
Cori,1.1420180804651636,1.1332104261406926
Cori,1.3568215052305137,1.3498310443284538
Cori,2.13763395428451,2.097125081408876
Cori,1.2868203891524388,1.2496675585173875
Cori,0.8860139988081244,0.8501255151421958
Cori,2.717643201788718,2.687117715347199
Cori,1.1540182717928644,1.116563838199312
Cori,1.370021715690967,1.3331855186736163
Cori,1.2016190307259933,1.1661673721104933
Cori,0.6700105549099931,0.633554820045731
Cori,2.2824362629717427,2.2523698198002364
Cori,2.2728361099096333,2.26686564202376
Cori,1.0420164860678938,1.0334353030391412
Cori,1.5032238394281308,1.5006859687830172
Cori,2.5856410971842934,2.5550032123975086
Cori,1.1240177934736837,1.116527723039951
Cori,1.896430108598253,1.884022170388647
Cori,2.481239432633544,2.4512487668079075
Cori,1.2032190562363212,1.1666419311544018
Cori,1.2032190562363212,1.2000603139414068
Cori,2.064032780808134,2.033225663789665
Cori,1.3200209184923608,1.2839472235629898
Cori,1.0376164159143857,1.0007671815763215
Cori,0.6868108227687344,0.650463958218694
Cori,1.50282383305057,1.4664051448459643
Cori,2.10043336116874,2.068998628532711
Cori,1.2772202360903293,1.2676954489253376
Cori,1.0060159120848766,0.9680104621907047
Cori,1.323620975890634,1.3167223139488158
Cori,2.025232162181908,1.994594699797176
Cori,2.0768329848909275,2.046424206887252
Cori,1.2532198534349277,1.2171700140547728
Cori,1.1872188011327012,1.150416126503444
Cori,1.237619604708982,1.2005813730170871
Cori,0.6220097895993035,0.5843074453777604
Cori,1.5208241200419934,1.483731566686572
Cori,1.120417736075353,1.083776572339957
Cori,1.6220257335721158,1.6169639292928082
Cori,2.056032653256296,2.024937695229198
Cori,0.672810599553145,0.6346807472326077
Cori,1.3536214542097582,1.317507661529817
Cori,0.8872140179408348,0.850955069663712
Cori,0.7212113712413952,0.6835236078982234
Cori,1.254019866190106,1.2182819734871373
Cori,2.004431830547276,1.970456106585516
Cori,1.132017921025465,1.1179779693075034
Cori,2.1792346175537887,2.144192695564016
Cori,1.270820134048904,1.2339618912998276
Cori,0.6704105612875537,0.6346636461833555
Cori,1.1700185268963423,1.1342872999651377
Cori,1.7036270346002311,1.6677075071315812
Cori,1.5856251532114811,1.5501419051244625
Cori,0.7212113712414521,0.6837148869740304
Cori,1.3076207207870425,1.301291073068569
Cori,1.2392196302193383,1.2015389641854313
Cori,1.1860187819999624,1.1507023448261862
Cori,2.519640044882124,2.488422920840378
Cori,1.4864235715693326,1.451037992395868
Cori,0.7372116263449584,0.7017593306206322
Cori,1.5700249044855354,1.5341051655198044
Cori,1.9872315563109737,1.9847882245683195
Cori,2.4696392476834035,2.4334618493074918
Cori,1.4044222641635995,1.3675019523939227
Cori,2.15323420301047,2.149223577483383
Cori,0.9380148278947332,0.901549788994771
Cori,1.0696169261215118,1.033940110325318
Cori,0.7880124362987999,0.7508223462452861
Cori,1.4196225065120416,1.3844031793472027
Cori,1.3544214669649932,1.3185306083125283
Cori,0.7036110906274189,0.6676341578194638
Cori,0.8208129592610476,0.8173073852112793
Cori,1.0536166710180055,1.0177767481715705
Cori,0.9864155995829264,0.9518676709923852
Cori,2.046432500194157,2.014819955393648
Cori,2.1624343496949905,2.162959167565589
Cori,0.9596151722845434,0.9517850012846908
Cori,2.352837385427449,2.318313622761707
Cori,0.7384116454777541,0.7018601202657919
Cori,1.2532198534349277,1.2184690697929454
Cori,2.5692408357031127,2.569334779092856
Cori,2.398438112472604,2.3654423834327645
Cori,0.6868108227687344,0.6521547717653675
Cori,1.3692217029357607,1.3347153631212905
Cori,1.2036190626139387,1.1682737539159689
Cori,1.069216919744008,1.0342964275292843
Cori,1.1288178700046956,1.117749197448461
Cori,1.0184161097902231,0.9840203907874638
Cori,2.601241345910239,2.602629848020115
Cori,1.3692217029358744,1.335111915725065
Cori,1.0532166646403311,1.018336067881819
Cori,1.65282622464656,1.618762513488491
Cori,2.040032398152789,2.0365798484006064
Cori,1.0404164605574806,1.035492792616651
Cori,2.087633157085748,2.0826164596644503
